version 6
recent_area Area_Center
unlock_puzzles 0
randomize 0
randomize_music 0
playtime 13912.75
nexus_unlocked 0

-section levels
flip_block3 0 0
flip_blocks 0 0
flip_clone_line 0 0
flip_cycle_ref 0 0
flip_elbows 0 0
flip_elbows_possess 0 0
flip_exit_block_1 0 0
flip_exit_block_2 0 0
flip_exit_block_3 0 0
flip_first 0 0
flip_iiexit_block_2 0 0
flip_non_ref_clones 0 0
flip_ref_basket 0 0
flip_ref_maze 0 0
flip_train 0 0
flipped_inf_block 0 0
float_in_space 0 0
float_in_space_0 0 0
full_align 0 0
full_align_2 0 0
full_v2 0 0
get_in_center 1 1
get_inside_yourself 0 0
grid_clone 0 0
hue_shift 0 0
hungry 0 0
hungry_flip 0 0
hungry_ref_flip 0 0
iboth_peel 0 0
iboth_ref_easy_d 0 0
iboth_ref_peel_d_v2 0 0
ienter_clone_setup 0 0
ienter_clone_setup_0 0 0
ienter_clone_setup_alt 0 0
ienter_just_ienter 0 0
ienter_nested 0 0
ienter_nested_0 0 0
ienter_ref_setups 0 0
ienter_send_block 0 0
iexit_clone_peel_b 0 0
iexit_garbage_dump 0 0
iexit_garbage_dump_0 0 0
iexit_just_push_out 0 0
iexit_nested_0_d 0 0
iexit_nested_setup_d 0 0
iexit_peel 0 0
iienter 0 0
iienter_bookmark_lite 0 0
iienter_hungry 0 0
iienter_sequence 0 0
iiexit_intro 0 0
iiexit_intro_0 0 0
iiexit_intro_0_zone 0 0
iiexit_line 0 0
iiexit_pack 0 0
iiexit_peel 0 0
iiexit_repeat_visit_d_v3 0 0
iiexit_round_corners 0 0
iii 0 0
inf_cannon_d 0 0
inf_eat 0 0
inf_placeholder 0 0
inf_zone_rescue 0 0
infenter_first_2 0 0
infenter_line 0 0
infenter_line_both_sides 0 0
infenter_peel 0 0
infenter_peel_0 0 0
infenter_pick_corner_v2 0 0
infenter_poswall_setup 0 0
infenter_toggle 0 0
infenter_zone_v2 0 0
infexit_cannon 0 0
infexit_help_out 0 0
infexit_off_wall 0 0
infexit_ref_first 0 0
infexit_round_corner_2_d 0 0
infexit_round_corner_d 0 0
infexit_transfer_posseses 0 0
infexit_two_cannons_d 0 0
infexit_walk_out_reposition_d 0 0
initiate_peel 1 1
initiate_peel_0 1 1
inpush_intro 0 0
inpush_navigate_inf_zone_v2 0 0
inpush_no_right 0 0
inpush_player_is_shift 0 0
inpush_poswall_priority_v3 0 0
inpush_ref_flip 0 0
inpush_ref_track 0 0
inpush_sequential_rescue 0 0
interlope_setup 0 0
kiss_yourself_flip_first 0 0
kiss_yourself_toggle 0 0
load_elbow 1 1
lock_3 1 1
lock_door 1 1
lock_door_setup 1 1
multi_cycle_reorder 0 0
multi_gun 0 0
multi_order 0 0
multi_order_0 0 0
multi_swap 0 0
multi_valign 0 0
multi_valign_ref 0 0
mutual_stool 0 0
narrow_door 1 1
narrow_door_two_deep 1 1
narrower_door 1 1
nest_ref 1 1
nest_two 1 1
no_entry_off_wall_both 1 1
no_up_walls_1 0 0
no_up_walls_2 0 0
no_up_walls_3 0 0
no_up_walls_4 0 0
no_up_walls_block_stool_v2 0 0
no_walls 0 0
no_walls_2 0 0
no_walls_3_v2 0 0
no_walls_seven 0 0
oblong_intro 0 0
off_the_wall 1 1
off_the_wall_three 1 1
oldstyle_lock_two_doors 0 0
oldstyle_squash_4_sides_v2 0 0
oldstyle_transfer_then_save 0 0
one_way_portal_2 1 1
open_door 1 1
order_1by1_clone_push 0 0
order_donut_push 0 0
order_elbow_push 0 0
order_empty_3by3 0 0
order_hungry 0 0
order_mutual_carry 0 0
order_poswall_piecewise_push 0 0
order_ref_piecewise_push 0 0
order_ref_spiral 0 0
pack 0 0
pack_0 0 0
pack_3 0 0
pack_3_by_3 0 0
pack_ref 0 0
pack_three 1 1
player_clone_rescue_v2 0 0
player_cycle_rescue 0 0
playerr_carousel 0 0
playerr_cycle_carry 0 0
playerr_eat_four_correct 0 0
playerr_first 0 0
playerr_ienter 0 0
playerr_iexit_carousel_d 0 0
portal_open_close 1 1
portal_setup_both 1 1
possess_catch_flip_v2 0 0
possess_correct_block_v2 0 0
possess_edge_circulate 0 0
possess_fifteen_puzzle_rescue 0 0
possess_first 0 0
possess_first_2 0 0
possess_ii_block_v2 0 0
possess_partner_recovery 0 0
possess_ref_stack 0 0
possess_slots 0 0
possess_through 0 0
poswall_chain_3 0 0
poswall_chain_ref_search 0 0
poswall_chain_v2 0 0
poswall_clone_transfer 0 0
poswall_doesnt_count_finish 0 0
poswall_doesnt_count_target 0 0
poswall_edge_eat_thing 0 0
poswall_first 0 0
poswall_intro 0 0
poswall_make_clone_edible 0 0
poswall_ref_off_wall 0 0
poswall_ref_stool 0 0
poswall_stack_setup 0 0
poswall_two_walls_intro 0 0
poswall_two_walls_possess 0 0
push_once_entry_allowed_4 1 1
puzzlescript 1 1
ref 1 1
ref_carry_careful 1 1
ref_carry_simple 1 1
ref_clone 1 1
ref_enter_in_center 1 1
ref_stack_four 0 0
ref_stack_lock 1 1
ref_static 1 1
ref_transfer_first 0 0
ref_transfer_lock 0 0
ref_turn_around 1 1
ref2 1 1
rescue 1 1
rescue_my_clones 0 0
round_corners 1 1
second_puzzle 1 1
separate 1 1
shed_first 0 0
shed_iiexit 0 0
shed_intro_box_manipulation 0 0
shed_lock_door_2 0 0
shed_multi_simultaneous 0 0
shed_ref_flip_v3 0 0
shed_side_extrude 0 0
shed_tricky_corners 0 0
sokosoko 1 1
squash_inside_2 1 1
squash_inside_3 1 1
squash_inside_4 1 1
squash_inside_outer_wall 0 0
squash_inside_outer_wall_straightline 0 0
stack_transfer 0 0
stack_transfer_3_v2 0 0
static_focus_block 0 0
sticky_carry2_v2 1 1
stool_possess_2_v3 0 0
stool_possess_empty 0 0
stool_possess_empty_other 0 0
stool_possess_v3 0 0
swap_back 1 1
swap_blocks 1 1
swap_cannon 1 1
swap_chain 1 1
swap_first 1 1
text_1 1 1
text_3 1 1
text_clone_v2 0 0
text_eat_v2 1 1
text_flip 0 0
text_poswall 0 0
third_puzzle 1 1
three_goals_in_one 1 1
tight_turnaround 1 1
topology_stack 1 1
train 0 0
train_align 0 0
train_portal 0 0
train_remote_control 0 0
transfer 0 0
transfer_back_and_forth 0 0
transfer_clones_back_forth 0 0
transfer_clones_back_forth_0 0 0
transfer_clones_back_forth_2 0 0
transfer_clones_back_forth_3 0 0
transfer_eat 0 0
transfer_eat_0 0 0
transfer_keep_off_wall 0 0
transfer_mismatched_v2 0 0
transfer_mutual 0 0
transfer_peel 0 0
transfer_possess 0 0
transfer_straight_line 0 0
transfer_two_sides_thinking_face 0 0
transfer_ultra_stack 0 0
tricky_pack 0 1
turn_around 1 1
two_peel_careful 1 1
two_peel_easy 1 1
two_way_rope 0 0
up_down_shuffle 1 1
vanilla_inf_exit 0 0
wrap 0 0
wrap_full 0 0
wrap2 0 0
zoom_in_anim 1 1
zoom_out_anim 1 1
